EQUIP
engdis	engine disabled
engoff	engine off
engon	engine on
batcrit	battery critical
batlow	low battery
geardn	gear down
gearup	gear up
camcentr	camera centered
camfix	camera fixed
camman	camera manual
camon	camera on
camoff	camera off
gmblact	gimbal active
gmblon	gimbal on
gmbloff	gimbal off
gps	GPS
bombrel	bombs released
bombawy	bombs away
smokeon	smoke on
smokeoff	smoke off
pchtdep	parachute deployed
brmtron	barometer on
brmtrof	barometer off
mgohmon	magnet O meter on
mgohmof	magnet O meter off
mgmtron	magnetometer on
mgmtrof	magnetometer off
cmpsson	compass on
cmpssof	compass off
buzz	buzzer
buzzon	buzzer on
buzzoff	buzzer off
buzzact	buzzer active
