FPV/AUTONOMOUS
mltrtr	multi rotor
stblz	stabilize
stblzmd	stabilize mode
auto	auto
autort	auto rotation
fbwa	fly by wire A
fbwb	fly by wire B
crcl	circle
crclmd	circle mode
waypt	waypoint
clmbmd	climbing mode
althld	altitude hold
poshld	position hold
gpsmd	GPS mode
attmd	attitude mode
slflvl	self level mode
slflvlm	self level mixing mode
quadc	quadcopter
tric	tricopter
hexc	hexacopter
octc	octocopter
uav	UAV
fpv	FPV
fpvf	from pilots view
hybrd	hybrid
hybrdmd	hybrid mode
drft	drift
drftmd	drift mode
auto	auto
automd	auto mode
acro	acro
acromd	acro mode
sprt	sport
sprtmd	sport mode
gidd	guided
giddmd	guided mode
flwme	follow me
flwmemd	follow me mode
angl	angle
anglmd	angle mode
hrzn	horizon
hrznmd	horizon mode
auttn	auto tune
auttnmd	auto tune mode
rate	rate
ratemd2	rate mode
stblt	stability
stbltmd	stability mode
stbl	stable
stblmd	stable mode
manl	manual
manlmd	manual mode
stgl	stagility
stglmd	stagility mode
