GENERAL
opentx	OpenTX
intmodl	internal module
extmodl	external module
deplyd	deployed
good	good
bad	bad
ugly	ugly
situ	situation
pos	positive
neg	negative
sitnorm	situation normal
train	training
stblon	stabilization on
stbloff	stabilization off
takoff	takeoff
cplton	co-pilot on
cpltoff	co-pilot off
race	race
racemd	race mode
racing	racing
engarm	engines armed
engdis	engines disarmed
mtrarm	motor armed
mtrdarm	motor disarmed
mtrsarm	motors armed
mtrsdarm	motors disarmed
actv	active
actvd	activated
dactvd	deactivated
eng	engaged
dseng	disengage
on	on
off	off
whtvr	whatever
fxdwng	fixed wing
trnr	trainer
sprtsfl	sports flying
pylnrc	pylon racing
seapl	seaplane
vintg	vintage
warbrd	warbird
sim	simulator
sclmod	scale model
bklght	back light on
trng	training
on	on
off	off
stopped	stopped
reset	reset
danger	danger!
timron	timer on
timroff	timer off
timrone	timer one
timrtwo	timer two
timlnd	it is time for you to land
timlnd2	you really should think about landing
cmnglnd	coming in for landing
deadstk	dead stick!
